category,authorLocation,requiredFunding,targetAudience,success
technology,unknown,246991,tourists seniors teachers youth patients seniors parents developers parents seniors,1
healthcare,urban,76338,patients parents seniors youth parents patients youth developers teachers youth smes smes smes teachers parents commuters teachers seniors farmers smes teachers commuters farmers patients farmers youth youth seniors tourists smes,1
agriculture,rural,17289,teachers commuters patients,1
technology,inland,296557,smes commuters commuters,0
other,urban,128921,developers seniors teachers commuters farmers youth patients tourists patients parents parents youth commuters tourists tourists farmers teachers smes patients developers,1
education,urban,147252,patients seniors seniors parents commuters farmers seniors commuters tourists seniors,1
education,suburban,5674,tourists parents tourists,1
education,suburban,201405,tourists tourists teachers,1
infrastructure,urban,216411,smes commuters tourists smes teachers commuters teachers parents commuters commuters farmers teachers farmers teachers teachers parents parents tourists farmers farmers,1
technology,coastal,83367,farmers patients tourists patients commuters developers patients smes developers tourists,1
agriculture,inland,110286,youth smes seniors commuters teachers patients developers youth developers teachers smes commuters teachers tourists seniors farmers patients seniors farmers patients teachers teachers developers parents seniors parents teachers seniors parents developers,1
healthcare,urban,60322,commuters commuters teachers,1
infrastructure,coastal,137334,youth smes parents,1
education,unknown,204069,developers tourists commuters seniors farmers teachers developers patients farmers farmers,1
infrastructure,inland,126267,developers patients seniors,1
agriculture,urban,25067,parents patients seniors tourists parents developers smes tourists developers tourists tourists developers farmers teachers developers smes smes tourists farmers smes smes developers teachers parents seniors parents developers smes patients commuters,1
other,rural,196729,commuters parents developers patients developers farmers commuters seniors smes tourists,0
infrastructure,unknown,183949,tourists seniors developers parents youth seniors tourists seniors seniors teachers commuters smes youth tourists developers teachers parents developers commuters smes commuters commuters youth tourists farmers developers commuters tourists patients tourists,1
other,coastal,191736,developers developers patients parents tourists patients commuters commuters seniors commuters parents seniors patients developers tourists smes farmers commuters parents farmers,1
healthcare,inland,103209,teachers farmers patients tourists tourists developers developers seniors tourists seniors,1
technology,urban,62910,youth developers parents patients parents seniors developers patients patients seniors patients parents teachers farmers parents seniors patients teachers tourists farmers teachers seniors developers patients patients parents smes patients teachers patients,1
other,inland,175800,seniors seniors developers commuters farmers developers commuters commuters farmers developers,1
education,coastal,74195,youth seniors teachers smes youth youth tourists teachers parents teachers seniors tourists teachers seniors seniors farmers patients parents commuters commuters patients farmers teachers farmers teachers seniors patients seniors youth farmers,1
healthcare,unknown,114335,teachers smes developers,1
other,rural,110751,smes commuters teachers teachers seniors farmers teachers tourists parents parents,1
healthcare,inland,285293,developers patients smes,1
technology,urban,116196,tourists smes seniors youth teachers youth parents patients farmers parents,1
healthcare,unknown,22021,youth tourists farmers commuters teachers youth commuters seniors farmers farmers patients youth developers patients parents tourists commuters commuters smes patients smes parents parents farmers tourists teachers commuters youth developers teachers,1
healthcare,urban,190511,developers commuters tourists tourists seniors smes tourists patients parents patients,1
agriculture,rural,231566,youth parents commuters,0
infrastructure,coastal,286715,smes smes farmers developers patients commuters smes teachers teachers seniors,0
infrastructure,urban,258982,teachers commuters patients farmers patients tourists seniors commuters farmers parents smes teachers commuters youth seniors teachers developers patients parents smes youth seniors youth teachers smes developers seniors youth developers youth,1
education,rural,266006,farmers commuters developers,0
other,suburban,295413,tourists smes seniors farmers youth tourists seniors seniors youth youth,0
agriculture,inland,167939,parents tourists commuters patients patients parents teachers seniors seniors teachers parents youth youth developers commuters smes seniors tourists teachers parents developers parents parents smes farmers farmers tourists developers smes teachers,1
agriculture,inland,254863,developers farmers smes youth teachers teachers tourists parents commuters developers commuters youth smes parents commuters teachers parents farmers youth commuters developers developers smes parents tourists parents teachers farmers seniors teachers,1
other,inland,299419,tourists parents teachers patients parents parents teachers developers patients commuters developers seniors commuters commuters youth commuters commuters tourists smes youth commuters smes developers youth youth farmers tourists farmers youth developers,0
other,suburban,47588,youth smes parents youth seniors developers seniors developers parents smes commuters tourists commuters commuters youth youth farmers parents tourists smes,1
healthcare,coastal,54399,developers youth seniors teachers parents parents seniors smes youth commuters smes youth teachers youth seniors commuters teachers parents seniors developers patients parents tourists smes commuters seniors tourists commuters commuters youth,1
education,rural,169404,youth smes developers commuters developers commuters youth youth teachers farmers parents patients farmers youth smes teachers commuters patients tourists youth seniors youth developers patients patients teachers developers parents tourists developers,1
agriculture,urban,169767,farmers patients seniors tourists farmers developers seniors farmers developers teachers patients tourists commuters commuters parents commuters commuters parents youth parents commuters developers seniors farmers youth parents tourists smes tourists developers,1
other,urban,86748,seniors commuters developers commuters patients parents farmers parents youth seniors,1
healthcare,unknown,62318,seniors seniors commuters,1
education,unknown,157823,farmers commuters farmers commuters seniors teachers parents smes farmers seniors seniors farmers seniors developers patients youth developers developers parents youth seniors teachers tourists seniors youth patients teachers smes tourists smes,1
education,inland,140719,parents parents commuters,1
agriculture,coastal,128056,parents patients parents youth tourists smes teachers teachers commuters teachers patients parents seniors smes seniors farmers farmers teachers commuters developers developers patients youth developers tourists developers seniors patients teachers youth,1
technology,unknown,109792,patients developers teachers commuters smes farmers smes tourists tourists farmers tourists youth smes farmers farmers commuters patients farmers seniors commuters developers patients tourists commuters smes youth commuters patients youth seniors,1
other,coastal,254198,developers tourists farmers commuters developers parents parents developers developers patients seniors patients smes teachers teachers youth teachers tourists farmers tourists parents smes parents patients teachers smes parents teachers youth developers,1
healthcare,coastal,214843,farmers patients commuters patients commuters parents developers developers farmers smes,1
healthcare,inland,231246,farmers patients teachers teachers seniors commuters youth smes seniors commuters parents patients parents seniors teachers patients farmers patients farmers commuters,1
infrastructure,urban,39765,farmers commuters parents commuters teachers teachers commuters commuters youth teachers,1
healthcare,coastal,119740,farmers teachers youth tourists developers patients youth teachers seniors parents youth parents tourists patients patients smes parents smes patients farmers,1
other,unknown,109084,teachers commuters parents farmers patients teachers tourists parents seniors commuters teachers teachers seniors teachers tourists farmers farmers commuters commuters patients tourists seniors smes smes seniors teachers seniors parents youth teachers,1
infrastructure,rural,37719,seniors parents patients patients parents developers tourists tourists parents farmers smes developers smes developers patients commuters teachers youth teachers tourists patients smes teachers youth teachers smes farmers patients tourists commuters,1
other,unknown,205694,farmers patients developers smes developers tourists farmers commuters seniors tourists seniors teachers commuters commuters parents patients tourists seniors developers farmers parents farmers smes tourists parents farmers smes farmers tourists commuters,0
other,inland,144877,youth smes tourists,0
agriculture,urban,283268,teachers parents patients,0
agriculture,urban,242047,teachers developers youth commuters youth commuters smes commuters developers patients youth farmers tourists seniors patients patients farmers patients smes patients teachers youth farmers youth developers tourists tourists youth patients patients,1
healthcare,unknown,127913,teachers youth farmers developers seniors seniors parents developers smes parents youth farmers parents parents seniors farmers commuters patients commuters commuters commuters commuters commuters smes parents seniors commuters farmers seniors farmers,1
agriculture,coastal,126270,parents youth smes farmers patients patients seniors patients patients youth farmers teachers developers smes teachers commuters tourists youth farmers youth smes smes parents commuters patients farmers teachers seniors youth commuters,1
agriculture,rural,274623,parents youth tourists patients farmers commuters tourists patients seniors patients,0
education,unknown,219359,farmers youth commuters teachers patients parents youth tourists farmers smes teachers farmers commuters seniors parents seniors parents developers parents parents,1
education,rural,213608,youth tourists teachers,0
technology,coastal,142983,patients youth seniors farmers seniors seniors patients youth farmers developers,1
other,inland,158213,commuters youth parents patients patients patients seniors parents developers parents patients teachers commuters tourists parents teachers parents youth tourists commuters,1
education,suburban,191660,patients youth teachers farmers parents tourists farmers developers developers parents,1
agriculture,unknown,167783,tourists seniors seniors,0
other,rural,30954,youth youth parents,1
education,inland,33032,commuters smes developers commuters commuters commuters seniors youth smes farmers,1
healthcare,rural,284301,developers commuters parents patients smes youth developers patients parents teachers,0
infrastructure,inland,146904,farmers smes developers,1
education,unknown,167495,seniors parents developers youth patients youth patients developers commuters commuters youth farmers parents smes commuters commuters parents developers commuters developers,1
agriculture,coastal,166750,parents parents tourists parents youth commuters youth teachers teachers farmers,1
education,urban,243415,farmers developers developers commuters commuters youth seniors patients parents developers smes patients developers parents developers tourists tourists tourists tourists smes,1
technology,unknown,204732,parents developers tourists,1
healthcare,inland,271109,commuters tourists youth,0
agriculture,suburban,172942,smes patients commuters tourists commuters smes teachers farmers parents farmers youth parents youth seniors patients smes parents patients tourists seniors,1
healthcare,rural,142713,patients tourists patients commuters parents youth tourists developers commuters smes,1
healthcare,unknown,162218,parents tourists tourists patients smes seniors teachers youth teachers parents,1
technology,suburban,285745,farmers smes teachers youth seniors tourists parents smes tourists teachers,1
technology,urban,151,commuters smes teachers,1
agriculture,urban,143760,parents youth farmers,1
agriculture,rural,65716,youth developers teachers teachers teachers patients seniors teachers commuters smes,1
healthcare,inland,195708,patients farmers seniors parents patients seniors smes developers farmers smes tourists smes developers seniors youth teachers youth tourists youth farmers,1
healthcare,urban,169150,youth smes teachers farmers commuters patients farmers commuters farmers youth,1
healthcare,suburban,72860,commuters developers smes teachers seniors developers teachers commuters farmers farmers youth patients tourists youth tourists developers parents seniors youth youth commuters commuters developers developers parents tourists smes youth youth teachers,1
other,unknown,69468,parents teachers patients tourists youth commuters teachers tourists teachers farmers patients seniors smes developers seniors farmers farmers tourists farmers patients smes parents youth commuters patients farmers farmers youth tourists developers,1
technology,rural,254164,teachers commuters patients commuters commuters seniors teachers farmers youth youth,1
healthcare,urban,32463,youth youth teachers patients farmers commuters patients seniors parents developers developers farmers patients farmers patients smes patients farmers farmers youth,1
technology,urban,180774,teachers youth parents commuters patients farmers teachers developers smes patients,1
infrastructure,coastal,215563,teachers smes seniors tourists developers seniors parents commuters teachers commuters,1
agriculture,inland,253306,commuters developers patients patients commuters tourists patients farmers youth farmers,1
technology,rural,127879,farmers seniors commuters farmers tourists parents developers parents smes youth parents youth parents developers farmers tourists smes farmers parents seniors,1
infrastructure,rural,149269,teachers youth farmers smes smes youth farmers parents tourists seniors parents tourists smes seniors patients commuters seniors smes farmers patients commuters developers teachers developers farmers parents youth farmers seniors developers,1
education,urban,38703,commuters tourists commuters,1
agriculture,urban,145096,developers parents smes seniors patients tourists patients farmers patients developers,1
infrastructure,rural,231544,farmers teachers smes teachers seniors parents farmers patients patients seniors developers teachers teachers teachers smes smes youth commuters seniors tourists,0
agriculture,unknown,147255,youth seniors smes,1
healthcare,suburban,224426,smes parents patients developers parents tourists smes teachers teachers teachers teachers teachers teachers parents commuters youth smes tourists seniors teachers developers seniors teachers farmers tourists teachers farmers patients commuters farmers,1
infrastructure,unknown,101814,farmers patients smes teachers patients seniors youth smes smes youth farmers developers teachers parents parents parents tourists tourists parents developers,1
healthcare,coastal,107733,smes farmers smes seniors parents seniors developers tourists farmers developers commuters smes seniors teachers youth farmers patients youth teachers commuters,1
technology,rural,33171,patients commuters parents parents tourists patients tourists parents seniors youth parents farmers parents smes teachers patients parents farmers youth patients,1
other,rural,231608,teachers youth parents tourists patients youth patients commuters youth developers teachers seniors parents farmers parents developers farmers seniors tourists tourists,1
healthcare,inland,36449,seniors commuters teachers farmers smes parents farmers commuters tourists parents tourists teachers tourists developers parents youth developers tourists tourists commuters,1
healthcare,rural,55277,teachers tourists commuters seniors commuters youth farmers parents farmers parents parents youth smes tourists smes teachers farmers youth smes parents youth smes tourists developers commuters tourists farmers tourists teachers parents,1
infrastructure,inland,267657,smes seniors patients developers seniors smes smes youth smes patients patients smes seniors patients parents tourists patients parents tourists patients,0
agriculture,urban,258283,tourists smes youth,1
other,inland,72342,seniors youth smes,1
education,rural,90242,developers farmers parents smes tourists patients farmers tourists teachers seniors,1
healthcare,coastal,76298,parents parents patients patients farmers commuters tourists youth youth seniors developers patients farmers patients farmers farmers parents tourists tourists seniors,1
infrastructure,unknown,94699,tourists farmers commuters,1
education,coastal,222134,developers farmers smes patients teachers parents commuters developers farmers seniors,1
healthcare,coastal,194679,smes youth farmers teachers teachers farmers smes commuters seniors teachers youth seniors teachers developers smes patients developers parents patients parents,1
other,suburban,192885,smes youth patients,0
technology,urban,32573,farmers parents patients developers seniors seniors parents teachers tourists seniors tourists commuters developers youth smes farmers youth tourists developers smes teachers developers parents teachers patients smes patients parents youth developers,1
technology,urban,256264,smes teachers youth farmers commuters teachers tourists developers smes seniors farmers parents youth farmers seniors parents commuters patients developers commuters,1
other,unknown,62448,tourists commuters tourists patients smes patients seniors developers developers teachers parents teachers farmers smes seniors seniors seniors developers tourists commuters,1
infrastructure,urban,183250,developers teachers smes developers developers seniors tourists parents teachers tourists,1
technology,coastal,276541,tourists youth farmers commuters commuters developers seniors teachers tourists commuters,1
other,urban,173687,patients teachers commuters,1
other,unknown,64340,farmers seniors youth,1
healthcare,rural,146465,farmers youth youth youth seniors tourists teachers commuters tourists smes patients teachers seniors patients smes patients smes parents parents smes,1
healthcare,coastal,198012,youth patients commuters patients commuters tourists developers youth patients tourists farmers teachers seniors commuters commuters smes youth seniors teachers youth,1
healthcare,urban,29896,developers teachers seniors tourists teachers patients youth tourists farmers tourists youth seniors teachers seniors parents teachers patients teachers tourists developers,1
infrastructure,inland,45198,teachers youth commuters,1
other,coastal,207319,commuters patients teachers,0
other,urban,250040,teachers seniors youth,0
other,unknown,205754,parents teachers tourists developers teachers parents parents seniors seniors parents parents youth youth seniors tourists seniors parents teachers seniors smes,0
infrastructure,suburban,286683,seniors seniors developers parents developers developers smes teachers parents tourists patients commuters patients farmers teachers smes seniors parents smes patients tourists commuters tourists commuters tourists developers patients patients teachers youth,1
infrastructure,coastal,208936,tourists developers youth patients commuters youth youth parents seniors smes commuters tourists farmers parents commuters developers tourists smes parents developers,1
technology,suburban,98159,farmers teachers youth smes tourists tourists farmers smes developers developers youth developers parents parents youth youth youth seniors patients smes parents parents teachers patients teachers tourists tourists commuters smes youth,1
agriculture,urban,70376,youth smes teachers parents farmers seniors tourists teachers youth teachers farmers smes tourists developers smes seniors commuters seniors tourists seniors youth patients patients tourists teachers seniors teachers farmers smes developers,1
education,unknown,37855,farmers tourists developers seniors smes parents seniors teachers patients teachers developers commuters parents patients farmers farmers parents farmers farmers teachers patients seniors smes youth tourists developers teachers teachers teachers parents,1
other,unknown,80687,parents seniors youth farmers farmers developers teachers patients parents tourists tourists teachers commuters patients tourists commuters smes parents youth developers,1
technology,urban,297700,parents patients parents,1
agriculture,inland,83299,teachers patients smes,1
agriculture,unknown,104607,tourists youth smes teachers seniors tourists smes developers teachers tourists farmers developers teachers commuters tourists parents youth smes smes developers,1
education,suburban,99905,developers smes parents,1
other,rural,149943,seniors patients patients tourists youth tourists youth parents farmers smes smes farmers developers parents tourists patients patients smes patients tourists smes developers smes youth teachers farmers developers developers farmers farmers,1
infrastructure,unknown,153371,seniors youth tourists,0
infrastructure,suburban,104179,farmers commuters seniors youth teachers tourists developers parents tourists tourists teachers developers tourists farmers smes farmers parents patients youth youth,1
technology,coastal,291643,commuters developers youth,1
agriculture,coastal,178153,farmers patients teachers,1
education,urban,74583,seniors seniors teachers,1
technology,unknown,153387,commuters seniors seniors smes youth teachers tourists patients parents youth,1
technology,rural,217932,parents patients parents teachers patients smes youth commuters youth parents parents teachers youth commuters smes seniors smes youth smes farmers,1
healthcare,suburban,22967,smes youth tourists smes commuters seniors smes tourists youth youth patients seniors farmers teachers smes youth youth seniors developers commuters youth farmers patients youth teachers commuters parents smes smes developers,1
healthcare,unknown,118078,tourists smes teachers developers youth smes youth farmers patients seniors,1
education,inland,101434,commuters smes teachers,1
education,suburban,22959,commuters youth seniors,1
technology,inland,252111,parents patients tourists commuters youth parents parents tourists smes parents smes farmers patients farmers developers youth commuters parents farmers tourists,1
education,rural,236729,smes commuters parents teachers youth developers smes patients farmers parents,0
healthcare,suburban,220569,tourists parents smes tourists parents tourists patients parents smes seniors smes smes developers smes smes youth patients parents youth smes,1
other,rural,182238,teachers commuters seniors,0
education,coastal,78952,smes developers smes,1
healthcare,suburban,222566,seniors developers patients developers smes youth developers farmers teachers teachers youth teachers smes tourists patients patients developers developers developers teachers youth tourists seniors farmers smes parents teachers farmers farmers youth,1
agriculture,urban,149011,patients commuters teachers smes commuters developers farmers commuters teachers smes parents commuters developers youth patients commuters tourists farmers smes developers seniors smes farmers seniors seniors commuters developers smes teachers tourists,1
other,coastal,113136,farmers teachers tourists,1
other,unknown,257055,commuters seniors developers,0
education,inland,262668,farmers seniors farmers,0
other,unknown,288761,developers smes tourists,0
infrastructure,suburban,279124,youth tourists parents teachers farmers teachers patients farmers commuters teachers,1
technology,urban,188158,patients teachers commuters parents smes seniors patients youth teachers parents,1
infrastructure,suburban,250653,teachers teachers tourists farmers tourists patients parents commuters teachers farmers developers farmers patients developers youth patients parents farmers commuters smes,1
healthcare,unknown,202169,seniors smes parents tourists youth smes patients developers smes developers commuters seniors developers seniors developers teachers youth smes parents commuters,1
other,suburban,58689,seniors youth commuters,1
education,suburban,186057,commuters tourists commuters,1
other,rural,12983,commuters smes patients smes youth seniors parents tourists parents developers parents smes commuters farmers youth farmers farmers farmers farmers commuters commuters seniors smes tourists patients commuters seniors commuters patients teachers,1
other,inland,216614,patients patients tourists smes youth teachers patients smes seniors commuters,0
agriculture,unknown,266290,youth teachers farmers seniors youth youth commuters youth farmers patients,0
technology,coastal,277818,patients seniors youth smes tourists smes parents developers developers commuters youth parents seniors youth tourists farmers tourists developers patients youth,1
technology,rural,71231,smes smes commuters tourists tourists patients commuters smes patients parents,1
agriculture,rural,95937,seniors developers tourists seniors teachers parents patients developers youth farmers commuters teachers smes commuters smes developers parents smes commuters smes,1
healthcare,coastal,271261,youth tourists commuters,1
agriculture,suburban,11445,teachers developers parents patients youth patients patients smes tourists parents parents commuters smes youth commuters seniors developers parents commuters commuters,1
other,rural,284314,farmers patients tourists tourists seniors smes farmers commuters youth farmers,0
healthcare,rural,106132,patients parents seniors farmers seniors patients farmers farmers teachers farmers youth seniors commuters seniors seniors teachers seniors developers commuters commuters,1
education,suburban,280506,seniors tourists teachers teachers commuters seniors smes parents parents parents teachers seniors youth youth developers developers seniors teachers patients tourists smes smes patients seniors seniors patients parents parents youth developers,1
agriculture,suburban,104189,teachers commuters commuters smes smes youth seniors developers teachers seniors teachers teachers smes parents tourists tourists teachers youth smes commuters,1
infrastructure,unknown,110240,tourists seniors parents developers parents teachers patients patients tourists seniors smes teachers seniors farmers farmers developers seniors teachers tourists commuters,1
other,unknown,62649,parents youth teachers seniors tourists patients teachers tourists smes farmers,1
agriculture,unknown,23396,farmers teachers teachers,1
agriculture,coastal,109473,seniors youth developers teachers seniors teachers seniors parents developers farmers seniors developers seniors teachers developers developers patients teachers smes patients developers developers patients teachers patients teachers parents tourists farmers youth,1
agriculture,coastal,237255,developers commuters patients tourists commuters commuters commuters patients teachers parents,1
infrastructure,inland,231963,youth parents developers seniors farmers seniors parents parents commuters parents teachers tourists tourists seniors developers tourists patients seniors commuters commuters farmers patients developers youth seniors developers smes youth seniors youth,1
healthcare,rural,48015,smes smes tourists youth tourists smes patients developers teachers commuters,1
infrastructure,coastal,82714,commuters tourists seniors commuters patients farmers teachers developers developers patients seniors farmers youth patients youth teachers smes commuters tourists smes seniors developers youth parents parents tourists farmers developers tourists seniors,1
agriculture,suburban,140662,developers patients parents smes developers seniors parents patients parents youth youth commuters seniors tourists farmers farmers commuters commuters teachers tourists teachers tourists developers tourists patients teachers seniors parents patients tourists,1
agriculture,rural,140906,tourists smes farmers youth youth youth teachers teachers smes commuters,1
technology,rural,14855,smes patients developers,1
infrastructure,inland,207492,tourists seniors teachers youth seniors patients youth youth smes tourists tourists commuters commuters developers patients farmers commuters seniors parents teachers,1
other,rural,281648,teachers developers farmers parents commuters teachers parents commuters tourists farmers,0
agriculture,inland,239447,tourists teachers patients,0
healthcare,urban,61873,farmers commuters patients tourists parents parents teachers parents seniors patients,1
technology,inland,152676,teachers commuters commuters commuters parents farmers youth farmers teachers tourists smes patients developers tourists developers parents youth smes seniors smes,1
healthcare,unknown,174651,smes teachers seniors tourists seniors teachers parents youth parents patients,1
technology,unknown,289946,seniors commuters parents,0
healthcare,unknown,258426,developers farmers patients tourists youth smes developers youth youth developers parents parents teachers smes smes tourists farmers commuters farmers farmers,1
other,suburban,185501,smes commuters teachers farmers seniors tourists commuters commuters parents teachers parents patients smes seniors tourists developers tourists tourists developers farmers youth developers teachers farmers smes parents developers commuters patients patients,1
healthcare,inland,96045,youth youth tourists commuters parents smes seniors parents teachers parents,1
other,unknown,105798,commuters teachers seniors teachers commuters patients commuters youth commuters developers seniors farmers tourists farmers tourists commuters tourists parents parents youth patients commuters smes tourists patients seniors farmers teachers developers smes,1
education,urban,213806,patients commuters smes patients parents seniors developers youth developers patients farmers tourists smes patients farmers teachers smes patients parents commuters tourists developers developers seniors tourists farmers parents teachers farmers youth,1
infrastructure,inland,44385,youth developers farmers tourists patients seniors developers tourists tourists developers,1
infrastructure,suburban,91422,youth parents parents youth parents commuters developers parents developers seniors,1
education,coastal,181542,teachers commuters parents commuters developers smes smes smes commuters seniors,1
education,rural,68435,tourists smes smes teachers smes farmers developers developers youth parents,1
technology,suburban,158342,farmers commuters commuters tourists teachers farmers teachers patients seniors tourists smes seniors patients patients youth smes seniors farmers youth teachers,1
other,coastal,234154,smes teachers patients commuters commuters patients seniors tourists smes seniors farmers teachers youth tourists developers youth tourists tourists farmers parents tourists developers patients patients teachers smes tourists seniors seniors teachers,1
healthcare,unknown,212321,youth tourists teachers,0
education,urban,230971,patients parents tourists patients patients tourists smes farmers seniors farmers farmers patients farmers tourists patients commuters tourists parents patients tourists,1
other,suburban,230234,farmers smes teachers commuters smes parents patients youth youth farmers,1
agriculture,coastal,136192,smes farmers smes developers youth youth parents farmers youth youth parents farmers patients smes farmers developers teachers tourists patients developers,1
other,inland,198298,tourists youth farmers,0
education,rural,101401,seniors smes tourists seniors farmers commuters developers parents commuters smes youth farmers parents developers tourists tourists farmers developers youth commuters teachers teachers parents teachers commuters teachers developers farmers commuters developers,1
education,rural,56988,seniors seniors developers farmers tourists developers tourists smes smes teachers seniors seniors commuters teachers smes youth teachers youth youth smes seniors youth patients smes patients smes parents tourists farmers teachers,1
education,urban,280037,parents parents tourists developers developers developers tourists smes commuters developers seniors commuters youth commuters commuters commuters parents tourists teachers teachers,1
technology,rural,235495,tourists developers patients,1
education,inland,99883,parents seniors youth farmers seniors parents parents smes farmers parents parents developers parents smes youth developers developers commuters parents developers,1
technology,urban,11687,farmers youth youth farmers farmers teachers smes commuters developers farmers seniors patients smes youth developers teachers commuters parents teachers teachers patients developers parents developers seniors developers commuters commuters smes tourists,1
agriculture,inland,220553,smes farmers commuters tourists farmers patients commuters seniors teachers farmers developers developers commuters youth patients seniors developers parents seniors youth farmers youth smes tourists seniors smes parents developers developers tourists,1
agriculture,coastal,238507,farmers farmers tourists developers developers farmers farmers developers seniors developers,1
other,urban,143852,youth farmers farmers,1
healthcare,suburban,113655,farmers seniors patients youth developers commuters developers developers tourists developers smes teachers youth farmers commuters seniors teachers smes tourists parents teachers tourists youth developers smes commuters teachers patients seniors teachers,1
technology,suburban,170629,teachers seniors developers commuters commuters patients developers youth patients commuters,1
healthcare,coastal,41986,developers developers developers commuters developers developers teachers seniors farmers teachers youth developers patients patients parents youth patients teachers teachers seniors,1
education,unknown,119365,seniors smes commuters farmers tourists patients tourists patients smes smes teachers parents seniors developers smes youth farmers patients teachers smes patients tourists seniors commuters tourists commuters tourists patients teachers smes,1
other,coastal,285092,commuters seniors seniors farmers teachers seniors teachers smes seniors seniors youth parents commuters farmers youth tourists seniors teachers seniors youth patients seniors tourists commuters patients seniors seniors teachers commuters teachers,0
healthcare,unknown,225474,youth youth tourists,1
other,coastal,32644,youth teachers commuters youth patients farmers youth teachers developers parents,1
other,rural,157302,patients tourists parents commuters parents seniors parents developers tourists parents,1
technology,coastal,127087,tourists commuters developers seniors seniors seniors youth youth developers tourists patients developers farmers parents tourists farmers developers tourists parents seniors seniors smes seniors tourists youth patients patients developers seniors youth,1
agriculture,rural,146418,parents tourists patients teachers parents tourists smes commuters developers parents,1
other,unknown,62924,farmers smes farmers,1
technology,coastal,33642,developers patients seniors teachers commuters tourists seniors farmers seniors youth youth developers parents seniors tourists developers tourists tourists farmers commuters,1
infrastructure,urban,283620,tourists parents farmers teachers patients youth patients commuters farmers parents seniors commuters developers youth smes farmers teachers seniors developers commuters commuters developers farmers youth seniors parents youth youth youth smes,1
healthcare,inland,81432,youth developers teachers,1
agriculture,unknown,187670,tourists tourists developers parents parents parents smes seniors developers commuters commuters teachers smes parents youth youth teachers parents tourists teachers smes youth farmers smes commuters patients smes developers parents parents,1
other,suburban,123863,parents tourists patients,1
healthcare,coastal,231378,youth developers tourists,1
other,inland,100843,commuters patients teachers seniors tourists parents farmers seniors patients parents seniors youth commuters parents smes smes farmers commuters teachers youth,1
healthcare,rural,249002,farmers smes smes teachers youth patients commuters patients seniors smes seniors tourists teachers tourists youth youth developers smes patients farmers,1
technology,unknown,151783,patients seniors teachers,1
healthcare,unknown,191012,developers smes parents developers developers teachers teachers youth commuters developers seniors farmers youth commuters seniors farmers tourists seniors teachers youth,1
other,inland,122648,farmers farmers parents,0
healthcare,unknown,236274,seniors patients commuters youth seniors smes youth tourists developers commuters developers patients farmers seniors parents teachers developers farmers commuters patients,1
agriculture,rural,171154,developers seniors parents seniors commuters developers commuters seniors patients teachers,1
other,inland,226071,developers farmers seniors farmers developers youth parents patients farmers seniors developers commuters parents developers commuters patients teachers smes youth teachers smes commuters farmers farmers smes teachers commuters seniors patients developers,1
agriculture,inland,16448,smes teachers smes patients teachers tourists parents parents parents smes parents youth teachers parents parents farmers patients farmers commuters seniors patients youth patients patients teachers seniors developers tourists seniors parents,1
agriculture,rural,196383,commuters farmers smes commuters tourists commuters parents tourists tourists youth,1
other,inland,163777,seniors tourists tourists seniors tourists tourists youth youth youth developers farmers teachers teachers farmers tourists commuters farmers patients smes parents,1
education,rural,135480,developers youth teachers,1
other,inland,219204,patients seniors commuters parents farmers youth youth smes patients seniors,0
education,urban,92091,tourists smes seniors,1
education,coastal,265709,youth teachers commuters commuters tourists seniors parents seniors youth youth smes seniors smes youth smes farmers tourists teachers parents smes,1
infrastructure,coastal,114841,seniors tourists teachers smes teachers smes parents commuters patients patients teachers developers smes youth farmers youth developers patients commuters commuters,1
agriculture,urban,285106,teachers seniors commuters tourists smes parents farmers smes youth commuters smes patients parents commuters tourists smes tourists seniors tourists tourists,1
healthcare,suburban,166696,teachers tourists farmers commuters tourists commuters tourists teachers commuters smes tourists parents parents teachers youth commuters smes parents youth teachers,1
healthcare,coastal,282608,farmers tourists patients developers tourists patients tourists parents teachers youth seniors parents seniors teachers developers commuters farmers youth patients farmers commuters smes seniors seniors farmers farmers parents seniors developers parents,1
agriculture,rural,12208,smes tourists commuters,1
technology,rural,268600,seniors patients farmers youth parents smes smes youth farmers developers,1
agriculture,rural,175984,commuters teachers patients tourists youth teachers patients seniors smes patients commuters seniors parents patients smes tourists patients commuters commuters seniors farmers commuters seniors parents commuters patients parents youth commuters patients,1
education,coastal,179255,youth commuters patients patients farmers farmers developers tourists youth smes tourists developers seniors teachers youth teachers tourists patients commuters smes,1
agriculture,coastal,47112,youth seniors youth developers seniors developers teachers patients farmers teachers,1
technology,unknown,216650,patients tourists farmers smes tourists teachers teachers tourists parents farmers,1
technology,coastal,264152,teachers teachers tourists seniors farmers youth tourists developers developers developers developers developers developers smes smes smes smes commuters teachers seniors parents teachers smes patients patients teachers developers youth farmers youth,1
technology,inland,56666,smes farmers tourists parents youth teachers developers developers tourists seniors,1
other,coastal,149259,tourists parents youth parents patients developers developers tourists parents parents patients tourists developers patients smes teachers patients developers teachers teachers,1
technology,coastal,207318,parents commuters parents smes parents teachers patients teachers teachers smes,1
other,unknown,59721,youth tourists seniors teachers commuters youth commuters youth tourists parents,1
agriculture,urban,299214,farmers tourists teachers tourists patients tourists commuters tourists teachers farmers teachers patients parents teachers patients youth parents parents seniors tourists developers seniors commuters seniors seniors developers farmers parents parents teachers,1
